-Student #,First Name,Last Name,Priority list,Status,First Choice,Second Choice,Third Choice,Fourth Choice
A00001239,Xu,Harvey,1,Eligible,Information Systems,Client Server,Web & Mobile,Data Communications
A00001258,William,Hlynsky,1,Eligible,Data Communications,Web & Mobile,Information Systems,Client Server
A00001315,Matthew,Hodgkinson,1,Eligible,Digital Processing,Web & Mobile,Information Systems,Wait for January
A00001247,Anthony,Hristov,2,Eligible,Web & Mobile,Information Systems,Digital Processing,Client Server
A00001268,Sean,Hui,1,Eligible,Information Systems,Data Communications,Client Server,Wait for January
A00001302,Scott,Hung,1,Eligible,Web & Mobile,Client Server,Data Communications,Digital Processing
A00001255,Tyler,Ivanov,1,Eligible,Web & Mobile,Client Server,Information Systems,Data Communications
A00001285,Quan-Huy,Jesse,2,null,Digital Processing,Data Communications,Web & Mobile,Information Systems
A00001287,Alvin,Ji,2,Eligible,Information Systems,Digital Processing,Data Communications,Client Server
A00001235,Colin,Khan,1,null,Information Systems,Client Server,Data Communications,Web & Mobile
A00001248,Mary,Grace,1,Eligible,Information Systems,Data Communications,Data Communications,Data Communications
A00001332,Micah,Kim,2,Eligible,Information Systems,Digital Processing,Data Communications,Web & Mobile
A00001307,Roscef,Klassen,1,Eligible,Information Systems,Client Server,Digital Processing,Data Communications
A00001283,Jacky,Kopczynski,1,Eligible,Digital Processing,Data Communications,Information Systems,Web & Mobile
A00001264,Jason,Kouwenhoven,1,Eligible,Data Communications,Information Systems,Digital Processing,Web & Mobile
A00001269,Allan,Krishnanta,1,Eligible,Information Systems,Digital Processing,Client Server,Data Communications
A00001292,Robert,Lachapelle,1,Eligible,Information Systems,Data Communications,Web & Mobile,Digital Processing
A00001237,Stuart,Lai,1,Eligible,Web & Mobile,Client Server,Data Communications,Information Systems
A00001308,Daniel,Lam,1,Eligible,Data Communications,Information Systems,Web & Mobile,Digital Processing
A00001265,Yu,Ching,1,Eligible,Data Communications,Digital Processing,Web & Mobile,Client Server
A00001310,Carson,Lauzon,1,Eligible,Web & Mobile,Client Server,Data Communications,Information Systems
A00001316,Chang,Beom,1,Eligible,Digital Processing,Web & Mobile,Information Systems,Client Server
A00001299,Kamil,Lee,1,Eligible,Information Systems,Client Server,Data Communications,Web & Mobile
A00001257,Grayden,Leung,1,Eligible,Information Systems,Client Server,Web & Mobile,Digital Processing
A00001236,Trevor,Leung,1,Eligible,Data Communications,Web & Mobile,Information Systems,Client Server
A00001260,John,lim,1,Eligible,Data Communications,Digital Processing,Client Server,Web & Mobile
A00001274,Michael,Liu,2,Eligible,Web & Mobile,Information Systems,Data Communications,Client Server
A00001289,Johnny,Lo,2,null,Information Systems,Web & Mobile,Client Server,Wait for January
A00001290,Tyler,Lockhart,1,Eligible,Data Communications,Web & Mobile,Information Systems,Wait for January
A00001313,Rupinder,Pal,1,Eligible,Information Systems,Data Communications,Web & Mobile,Digital Processing
A00001303,Spencer,Lues,2,Eligible,Web & Mobile,Data Communications,Information Systems,Client Server
A00001262,Vivek,Lyons-Davis,1,Eligible,Web & Mobile,Client Server,Information Systems,Data Communications
A00001277,Daniel,Ying,2,Eligible,Wait for January,Web & Mobile,Client Server,Information Systems
A00001238,Krystle,Mabbott,1,Eligible,Information Systems,Web & Mobile,Client Server,Digital Processing
A00001279,Nathaniel,Marantz,1,Eligible,Digital Processing,Information Systems,Data Communications,Client Server
A00001253,Juven,Meilleur,1,Eligible,Data Communications,Wait for January,Wait for January,Wait for January
A00001296,Khoa,Montano,1,Eligible,Data Communications,Web & Mobile,Wait for January,Information Systems
A00001278,Brian,Padua,1,Eligible,Data Communications,Information Systems,Digital Processing,Web & Mobile
A00001300,Joseph,Pelka,1,Eligible,Information Systems,Data Communications,Web & Mobile,Client Server
A00001284,Jing,Pham,1,Eligible,Information Systems,Data Communications,Client Server,Web & Mobile
A00001249,Hsuan,Wei,1,Eligible,Digital Processing,Data Communications,Web & Mobile,Information Systems
A00001259,Jayson,rafanan,2,Eligible,Data Communications,Digital Processing,Web & Mobile,Information Systems
A00001272,Eric,Rattan,1,Eligible,Digital Processing,Web & Mobile,Information Systems,Data Communications
A00001301,Duy,Rempel,1,Eligible,Digital Processing,Data Communications,Information Systems,Client Server
A00001267,Eric,Sabourova,2,Eligible,Digital Processing,Data Communications,Information Systems,Web & Mobile
A00001297,Nguyen,Sadio,1,Eligible,Client Server,Information Systems,Web & Mobile,Digital Processing
A00001318,She,Jong,1,Eligible,Data Communications,Information Systems,Digital Processing,Wait for January
A00001323,Clifton,Sato,1,Eligible,Data Communications,Web & Mobile,Client Server,Information Systems
A00001280,Hank,Scott,1,Eligible,Data Communications,Web & Mobile,Digital Processing,Information Systems
A00001282,Eric,Smith,1,Eligible,Information Systems,Client Server,Digital Processing,Data Communications
A00001325,Tom,Smith-Manchip,1,Eligible,Web & Mobile,Client Server,Information Systems,Data Communications
A00001271,Seonghyoung,Soer,2,Eligible,Data Communications,Digital Processing,Client Server,Information Systems
A00001276,Andrew,Tallarico,1,Eligible,Data Communications,Client Server,Information Systems,Web & Mobile
A00001312,Samuel,Tallentire,1,Eligible,Data Communications,Web & Mobile,Information Systems,Client Server
A00001295,Kwok,Chu,1,Eligible,Information Systems,Client Server,Digital Processing,Data Communications
A00001252,Hai,Hoang,1,null,Web & Mobile,Data Communications,Information Systems,Wait for January
A00001270,Spenser,Tsang,1,Eligible,Digital Processing,Web & Mobile,Information Systems,Wait for January
A00001256,Phillip,Velasco,1,Eligible,Data Communications,Information Systems,Wait for January,Digital Processing
A00001275,Don,Yimeng,2,Eligible,Information Systems,Data Communications,Client Server,Web & Mobile
A00001305,Yong,Ern,1,Eligible,Information Systems,Data Communications,Wait for January,Client Server
A00001254,Aicha,Wang,1,Eligible,Data Communications,Web & Mobile,Information Systems,Digital Processing
A00001326,Jose,Claudio,1,Eligible,Information Systems,Web & Mobile,Data Communications,Digital Processing
A00001273,Tony,Waziri,2,Eligible,Information Systems,Web & Mobile,Client Server,Data Communications
A00001291,Martin,WU,1,Eligible,Information Systems,Client Server,Web & Mobile,Digital Processing
A00001331,Andrew,Xia,1,Eligible,Data Communications,Information Systems,Digital Processing,Web & Mobile
A00001251,Quan,Xie,1,Eligible,Information Systems,Digital Processing,Web & Mobile,Data Communications
A00001322,Wesley,Ye,1,Eligible,Digital Processing,Data Communications,Client Server,Information Systems
A00001304,Derrick,Yoo,1,Eligible,Information Systems,Client Server,Web & Mobile,Data Communications
A00001330,Brendan,Yoon,1,Eligible,Data Communications,Information Systems,Digital Processing,Web & Mobile
